Product Title,SKU,Product Types,Product Categories,Edge Types,Capacity,Lid,Additonal,Top Out A,Top Out B,Top In A,Top In B,Base A,Base B,Depth,Weight,Samples Available,Featured Image URL,Image Name
Rectangular,S-270190-55,Smoothwall,Rectangular,Reversed Rolled Edge,2141,,"""Premium,BBQ""",270,190,255,175,241,161,55,,,,
Rectangular,S-270190-67,Smoothwall,Rectangular,Reversed Rolled Edge,2559,,"""Premium,BBQ""",270,190,255,175,240,160,67,,,,
Rectangular,S-270190-45,Smoothwall,Rectangular,Reversed Rolled Edge,1760,,"""Premium,BBQ""",270,190,254,174,242,162,45,,,,
Round,S-276276-40,Smoothwall,Round,Reversed Rolled Edge,1946,,"""Premium,BBQ""",276,276,260,260,240,240,40,,,,
Rectangular,S-277215-44,Smoothwall,Rectangular,Reversed Rolled Edge,1800,,"""Premium,BBQ""",277,215,258,196,243,180,44,,,,
Rectangular,S-277184-20,Smoothwall,Rectangular,Reversed Rolled Edge,630,,"""Premium,BBQ""",277,184,251,158,244,151,20,,,,
Rectangular,S-286225-45,Smoothwall,Rectangular,Reversed Rolled Edge,2035,,"""Premium,BBQ""",286,225,265,204,254,193,45,,,,
Rectangular,S-293193-45,Smoothwall,Rectangular,Reversed Rolled Edge,1979,,"""Premium,Roaster,BBQ""",293,193,279,179,265,165,45,,,,
Rectangular,S-293191-55,Smoothwall,Rectangular,Reversed Rolled Edge,2110,,"""Premium,Roaster,BBQ""",293,191,255,175,241,161,55,,,,
Rectangular,S-293193-85,Smoothwall,Rectangular,Reversed Rolled Edge,3716,,"""Premium,Roaster,BBQ""",293,193,275,175,260,169,85,,,,
Rectangular,S-293193-50,Smoothwall,Rectangular,Reversed Rolled Edge,2200,,"""Premium,Roaster,BBQ""",293,193,275,175,260,160,50,,,,
Rectangular,S-293193-90,Smoothwall,Rectangular,Reversed Rolled Edge,4000,,"""Premium,Roaster,BBQ""",293,193,279,179,250,156,90,,,,
Rectangular,S-312244-60,Smoothwall,Rectangular,Reversed Rolled Edge,3320,,"""Premium,Roaster,BBQ""",312,244,288,220,262,194,60,,,,
